                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5254,                    inf,                 1.1449,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.07075,                0.00325,                0.00325
                      1,                 1.5605,                    inf,                 1.0304,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.040424,              0.0062575,              0.0062575
                      2,                 1.5179,                    inf,                0.82171,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0097683,              0.0089349,              0.0089349
                      3,                 1.4809,                    inf,                0.95975,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                      4,                0.98777,                    inf,                0.73478,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                      5,                 1.4907,                    inf,                0.89393,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      6,                  1.461,                    inf,                 0.9492,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                      7,                  1.782,                    inf,                 1.1128,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                      8,                 2.2238,                    inf,                 1.5059,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                      9,                 1.7781,                    inf,                 1.0806,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     10,                  1.155,                    inf,                0.67585,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     11,                 1.0281,                    inf,                0.64043,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     12,                 1.0426,                    inf,                 0.6257,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     13,                0.92341,                    inf,                0.63861,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     14,                 0.3331,                    nan,                0.22802,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.003565,               0.003565,               0.003565
                     15,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00307,                0.00307,                0.00307
                     16,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.002575,               0.002575,               0.002575
                     17,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00208,                0.00208,                0.00208
                     18,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.001585,               0.001585,               0.001585
                     19,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00109,                0.00109,                0.00109
