                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.499,                 13.442,                   1.45,                0.00429,                0.09746,                0.00386,                0.00187,                 2.5265,                    inf,                 1.5261,               0.000325,               0.000325,               0.000325
                      2,                 2.1764,                 3.4473,                 1.1887,                0.30391,                0.01535,                0.01945,                0.00553,                 2.7193,                 22.468,                 1.8211,             0.00064938,             0.00064938,             0.00064938
                      3,                 2.1101,                 2.9222,                 1.1788,                  1e-05,                0.00424,                      0,                      0,                  2.945,                    inf,                 1.9958,              0.0009604,              0.0009604,              0.0009604
                      4,                 2.1226,                 2.5477,                 1.1884,                  1e-05,                0.00424,                      0,                      0,                    nan,                    nan,                    nan,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.0843,                 2.3371,                 1.1693,                0.02431,                0.03889,                0.03472,                0.01068,                 2.8751,                 4.9253,                  1.643,               0.001151,               0.001151,               0.001151
                      6,                 2.0527,                 2.1553,                 1.1606,                0.02431,                0.03889,                0.03472,                0.01068,                 2.6115,                    inf,                 1.5969,              0.0011263,              0.0011263,              0.0011263
                      7,                  1.925,                 1.8949,                 1.1375,                0.83764,                0.18267,                0.24861,                0.13059,                 2.1267,                 2.7146,                 1.3377,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.8889,                 1.7686,                 1.0996,                 0.6194,                0.44528,                0.44634,                0.18821,                 2.0585,                 3.2007,                 1.2545,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.8472,                 1.7453,                 1.1048,                0.67869,                0.37566,                0.35943,                 0.1588,                 1.9674,                 3.7919,                 1.2222,               0.001052,               0.001052,               0.001052
                     10,                 1.7285,                 1.6795,                 1.0626,                0.75169,                0.38822,                0.40606,                0.21519,                 1.9793,                 4.8733,                 1.2615,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.8035,                 1.7127,                 1.0879,                0.67316,                0.37243,                0.36563,                0.19428,                 2.0804,                  2.772,                 1.3241,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.7796,                 1.6353,                 1.0785,                0.42405,                0.38895,                0.39524,                0.21465,                 1.7829,                 2.3216,                  1.158,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.7081,                 1.5082,                 1.0599,                 0.6679,                0.27095,                0.43961,                0.21939,                  1.952,                 2.3322,                 1.2303,               0.000953,               0.000953,               0.000953
                     14,                 1.6852,                 1.4903,                 1.0617,                 0.5491,                0.41805,                0.47315,                0.25968,                 1.8708,                 2.0492,                 1.2032,             0.00092825,             0.00092825,             0.00092825
                     15,                  1.596,                 1.2866,                 1.0322,                0.70171,                0.37494,                0.44103,                0.22981,                 1.9745,                 2.0215,                 1.2768,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.6293,                 1.3778,                 1.0374,                0.38492,                0.45078,                0.47899,                 0.2685,                  1.892,                 2.3372,                 1.2466,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.5707,                 1.2718,                 1.0147,                0.69285,                0.59671,                0.64296,                0.35053,                 1.7879,                 1.5721,                 1.1953,               0.000854,               0.000854,               0.000854
                     18,                 1.5907,                 1.2586,                  1.023,                0.73236,                0.45745,                 0.4889,                0.26225,                 1.8417,                 1.9543,                 1.2203,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.6114,                 1.2166,                 1.0391,                 0.4706,                0.43021,                0.42448,                0.23092,                 1.9976,                 1.7786,                 1.3263,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.5965,                 1.2654,                 1.0249,                0.84672,                0.52425,                 0.6625,                0.34445,                 1.7348,                 1.5004,                  1.183,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.5115,                 1.1605,                 1.0006,                0.63002,                0.56855,                0.57724,                0.30703,                 1.7659,                 1.4674,                 1.1718,               0.000755,               0.000755,               0.000755
                     22,                 1.5115,                 1.1565,                 1.0142,                0.68158,                 0.4906,                0.62947,                0.35724,                 1.7635,                  1.628,                 1.1875,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.4701,                 1.1008,                0.97802,                0.66191,                0.65237,                0.68006,                0.35861,                 1.8361,                  1.561,                 1.1943,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.4483,                 1.0208,                0.97889,                0.73733,                0.64342,                0.67541,                0.36516,                 1.7466,                 1.5617,                 1.1682,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.4152,                0.95289,                 0.9739,                0.65339,                0.60576,                0.64014,                0.31773,                 1.9216,                 1.6719,                 1.2738,               0.000656,               0.000656,               0.000656
                     26,                 1.4287,                0.98744,                  0.986,                0.67579,                0.62684,                0.65303,                0.36434,                 1.8618,                 1.5285,                 1.2235,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.3645,                0.95519,                0.95487,                0.67325,                0.58413,                0.66192,                0.39066,                 1.7731,                 1.5464,                 1.2085,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.3943,                0.94561,                0.95759,                0.77107,                0.55137,                0.63646,                0.33716,                 1.7591,                 1.4531,                 1.1994,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.3434,                0.95419,                0.97958,                 0.7263,                0.62466,                0.66687,                0.34633,                 1.7761,                 1.4041,                 1.1967,               0.000557,               0.000557,               0.000557
                     30,                 1.3382,                0.84464,                0.96442,                0.88829,                0.53399,                0.65564,                0.37341,                 1.6795,                 1.2812,                 1.1638,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.3473,                 0.8706,                 0.9586,                0.88409,                0.58899,                0.69712,                0.37261,                 1.8595,                  1.463,                 1.2445,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.3312,                0.88145,                0.93121,                0.86506,                0.62483,                0.71568,                0.40071,                 1.7414,                  1.369,                 1.1706,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.3129,                 0.8545,                 0.9533,                0.67978,                0.63948,                0.67409,                0.36185,                 1.7824,                 1.4135,                 1.2163,               0.000458,               0.000458,               0.000458
                     34,                 1.2964,                0.86673,                0.95326,                0.64442,                0.58384,                0.63232,                0.33989,                 1.8191,                 1.8222,                 1.1902,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.2697,                0.81639,                0.95899,                0.72873,                0.63751,                 0.6812,                0.35977,                 1.8868,                 1.5454,                 1.1928,              0.0004085,              0.0004085,              0.0004085
                     36,                  1.272,                0.74335,                0.96002,                0.82843,                  0.607,                0.66267,                0.38431,                 1.7929,                  1.434,                 1.2164,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.2499,                0.76474,                0.95633,                0.81991,                 0.6091,                0.69609,                0.39949,                  1.796,                 1.3517,                 1.2351,               0.000359,               0.000359,               0.000359
                     38,                   1.21,                0.72151,                0.91756,                 0.8565,                0.57955,                0.68395,                0.41659,                 1.7431,                 1.5637,                 1.1929,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.1649,                0.68707,                0.91046,                0.76435,                0.66723,                0.72102,                0.40747,                 1.7141,                 1.2813,                 1.1755,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.1792,                0.69879,                0.90858,                0.78894,                 0.6924,                0.70873,                0.39856,                 1.6978,                 1.2598,                 1.2022,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.1166,                 0.6621,                0.92165,                0.78163,                0.69348,                0.73744,                0.40081,                 1.7225,                 1.2273,                 1.2168,                0.00026,                0.00026,                0.00026
                     42,                 1.0836,                0.63564,                0.93064,                0.69887,                0.67872,                 0.7157,                  0.399,                 1.6437,                  1.214,                 1.1652,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.0965,                0.63835,                0.91579,                 0.7354,                0.69267,                0.73587,                0.40147,                 1.7071,                 1.1709,                  1.181,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.0801,                0.60832,                0.92896,                0.78044,                0.65772,                0.72585,                0.39877,                  1.686,                  1.196,                 1.1779,             0.00018575,             0.00018575,             0.00018575
