                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5731,                    inf,                  1.603,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                 0.0867,                 0.0057,                 0.0057
                      1,                  2.147,                    inf,                 1.3718,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.072546,               0.011546,               0.011546
                      2,                 3.0572,                    inf,                 1.4449,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.058233,               0.017233,               0.017233
                      3,                 3.0907,                    inf,                 1.7839,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.043761,               0.022761,               0.022761
                      4,                 3.6679,                    inf,                 2.2226,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.029132,               0.028132,               0.028132
                      5,                  3.096,                    inf,                 1.9629,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,                0.02802,                0.02802,                0.02802
                      6,                 2.8484,                    inf,                 2.7615,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,                0.02802,                0.02802,                0.02802
                      7,                 3.1917,                    inf,                 3.7893,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.027624,               0.027624,               0.027624
                      8,                 4.0715,                    inf,                 5.0884,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.027228,               0.027228,               0.027228
                      9,                 4.1861,                    inf,                 6.8383,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.026832,               0.026832,               0.026832
                     10,                 2.1133,                    inf,                 3.1934,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.026436,               0.026436,               0.026436
                     11,                 2.7373,                    inf,                 5.0353,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,                0.02604,                0.02604,                0.02604
                     12,                 3.2148,                    inf,                 3.6995,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.025644,               0.025644,               0.025644
                     13,                 2.7881,                    inf,                 4.0738,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.025248,               0.025248,               0.025248
                     14,                  3.327,                    inf,                 6.2339,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.024852,               0.024852,               0.024852
                     15,                 3.2656,                    inf,                 4.8003,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.024456,               0.024456,               0.024456
                     16,                 2.3979,                    inf,                  3.826,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,                0.02406,                0.02406,                0.02406
                     17,                 2.3658,                    inf,                 2.7278,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.023664,               0.023664,               0.023664
                     18,                 2.5349,                    inf,                 4.1331,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.023268,               0.023268,               0.023268
                     19,                 3.0758,                    inf,                 4.9753,                  3e-05,                0.16667,                  2e-05,                  1e-05,                      0,                    inf,                      0,               0.022872,               0.022872,               0.022872
