                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7511,                 564.66,                 1.1613,                      0,                      0,                      0,                      0,                0.96984,                    inf,                0.74245,              0.0002375,              0.0002375,              0.0002375
                      2,                 1.2918,                 68.981,                0.72652,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00048106,             0.00048106,             0.00048106
                      3,                 2.2282,                 12.698,                 1.2397,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00071803,             0.00071803,             0.00071803
                      4,                 1.9653,                 5.8921,                 1.0853,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00094839,             0.00094839,             0.00094839
                      5,                 1.7303,                 4.2906,                0.98705,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011722,              0.0011722,              0.0011722
                      6,                 1.5927,                 3.4199,                 0.8741,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011675,              0.0011675,              0.0011675
                      7,                   2.11,                 3.8197,                 1.0899,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001151,               0.001151,               0.001151
                      8,                 2.2015,                 3.6308,                 1.2287,                      0,                      0,                      0,                      0,                 2.1018,                 3.3602,                0.83898,              0.0011345,              0.0011345,              0.0011345
                      9,                 1.9702,                 3.9038,                0.92572,                      0,                      0,                      0,                      0,                      0,                0.02074,                      0,               0.001118,               0.001118,               0.001118
                     10,                 2.2835,                 4.3008,                 1.2366,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                     11,                 2.2633,                 4.1764,                 1.1473,                      0,                      0,                      0,                      0,                      0,                0.16296,                      0,               0.001085,               0.001085,               0.001085
                     12,                 1.6167,                   3.53,                0.87475,                      0,                      0,                      0,                      0,                 1.5549,                 2.1348,                0.72538,              0.0010685,              0.0010685,              0.0010685
                     13,                  2.312,                 3.8855,                 1.1406,                      0,                      0,                      0,                      0,                      0,                0.02074,                      0,               0.001052,               0.001052,               0.001052
                     14,                 1.8123,                 3.5328,                0.89961,                      0,                      0,                      0,                      0,                 1.1087,                 2.8769,                0.59811,              0.0010355,              0.0010355,              0.0010355
                     15,                 1.6537,                 3.3152,                0.84234,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001019,               0.001019,               0.001019
                     16,                 1.7206,                 3.2283,                0.78505,                      0,                      0,                      0,                      0,                 1.9264,                   3.69,                0.84729,              0.0010025,              0.0010025,              0.0010025
                     17,                  2.486,                 4.7753,                 1.1569,                      0,                      0,                      0,                      0,                  1.793,                 3.3554,                0.84549,               0.000986,               0.000986,               0.000986
                     18,                 1.9663,                 3.9752,                  1.115,                      0,                      0,                      0,                      0,                 1.9732,                 3.2947,                0.84129,              0.0009695,              0.0009695,              0.0009695
                     19,                 1.9327,                 3.5986,                0.88334,                      0,                      0,                      0,                      0,                 1.9088,                 3.4616,                0.71757,               0.000953,               0.000953,               0.000953
                     20,                 1.7876,                 3.5987,                 1.0648,                      0,                      0,                      0,                      0,                 1.9325,                 3.7225,                0.77715,              0.0009365,              0.0009365,              0.0009365
                     21,                  1.721,                 3.3974,                 0.9581,                      0,                      0,                      0,                      0,                 1.6711,                 3.5972,                0.77801,                0.00092,                0.00092,                0.00092
                     22,                 2.1467,                 4.2224,                  1.005,                      0,                      0,                      0,                      0,                 2.2878,                 3.0834,                 1.2268,              0.0009035,              0.0009035,              0.0009035
                     23,                 1.5077,                 3.1998,                0.78942,                      0,                      0,                      0,                      0,                 1.7967,                 3.2323,                 0.7552,               0.000887,               0.000887,               0.000887
                     24,                 2.1305,                 4.1711,                 1.1798,                      0,                      0,                      0,                      0,                 2.2892,                 3.8619,                 0.8986,              0.0008705,              0.0008705,              0.0008705
                     25,                 2.5197,                 4.3315,                 1.2455,                      0,                      0,                      0,                      0,                 2.6852,                 4.0439,                 2.3257,               0.000854,               0.000854,               0.000854
                     26,                 1.5816,                 3.1518,                0.75125,                      0,                      0,                      0,                      0,                 1.7696,                 3.1765,                0.70008,              0.0008375,              0.0008375,              0.0008375
                     27,                 1.7782,                 3.3282,                 0.9493,                      0,                      0,                      0,                      0,                 1.8713,                 3.9596,                 0.7311,               0.000821,               0.000821,               0.000821
                     28,                 1.6982,                 3.4371,                 1.0187,                      0,                      0,                      0,                      0,                 1.9257,                 3.2932,                0.90847,              0.0008045,              0.0008045,              0.0008045
                     29,                 1.6307,                 3.7062,                0.96572,                      0,                      0,                      0,                      0,                 1.8194,                 3.3739,                0.82497,               0.000788,               0.000788,               0.000788
                     30,                 1.1645,                 2.7808,                0.74371,                      0,                      0,                      0,                      0,                 1.8147,                 3.1949,                 0.8944,              0.0007715,              0.0007715,              0.0007715
                     31,                 1.3755,                 3.7533,                0.88546,                      0,                      0,                      0,                      0,                  1.962,                 3.9804,                0.79668,               0.000755,               0.000755,               0.000755
                     32,                 2.1944,                 4.8071,                 1.3016,                      0,                      0,                      0,                      0,                 1.6576,                 3.2014,                0.80791,              0.0007385,              0.0007385,              0.0007385
                     33,                 1.5887,                 3.7945,                0.73309,                      0,                      0,                      0,                      0,                 1.7179,                 3.6087,                0.83023,               0.000722,               0.000722,               0.000722
                     34,                 1.6992,                 3.7424,                 1.0104,                      0,                      0,                      0,                      0,                 1.5041,                 3.7544,                0.72746,              0.0007055,              0.0007055,              0.0007055
                     35,                 1.4321,                 3.3724,                0.83252,                      0,                      0,                      0,                      0,                 1.0542,                 4.0262,                0.66913,               0.000689,               0.000689,               0.000689
                     36,                 1.9307,                   3.68,                  1.277,                      0,                      0,                      0,                      0,                 2.2227,                 2.9728,                 1.1384,              0.0006725,              0.0006725,              0.0006725
                     37,                  1.398,                 3.3063,                0.87149,                      0,                      0,                      0,                      0,                 2.0254,                 2.6768,                 1.0053,               0.000656,               0.000656,               0.000656
                     38,                 1.3508,                 2.9295,                 0.8173,                      0,                      0,                      0,                      0,                 1.7503,                  3.097,                0.76306,              0.0006395,              0.0006395,              0.0006395
                     39,                 1.7744,                 3.9892,                 1.0232,                      0,                      0,                      0,                      0,                 2.0047,                  3.513,                0.78409,               0.000623,               0.000623,               0.000623
