                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5263,                 11.415,                 1.4886,                0.91999,                0.08104,                0.09895,                0.05962,                      0,                    inf,                      0,                0.07075,                0.00325,                0.00325
                      1,                 2.1372,                 3.1383,                 1.2434,                0.44324,                 0.2305,                 0.1826,                 0.1033,                      0,                    inf,                      0,               0.040424,              0.0062575,              0.0062575
                      2,                 2.0801,                 2.9778,                 1.1392,                0.50878,                 0.0436,                0.18133,                0.10284,                      0,                    inf,                      0,              0.0097683,              0.0089349,              0.0089349
                      3,                 2.2008,                  2.858,                 1.1789,                0.87563,                0.18983,                 0.2473,                0.12013,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                      4,                 2.0623,                 2.2136,                 1.1804,                0.88929,                0.21525,                0.30297,                0.14696,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                      5,                 2.0194,                 2.0632,                 1.1614,                  0.557,                0.10554,                0.16912,                0.08861,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      6,                 1.9497,                 1.7272,                 1.1154,                0.40445,                0.36204,                 0.3518,                0.12457,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                      7,                 1.8794,                 1.6536,                 1.1021,                 0.7542,                0.21302,                 0.2591,                0.14646,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                      8,                 1.8342,                 1.5432,                 1.0962,                 0.5278,                0.52359,                0.52517,                0.22308,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                      9,                 1.8104,                 1.4257,                 1.0801,                 0.3053,                0.49392,                0.37049,                0.17991,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     10,                 1.6304,                 1.3406,                 1.0978,                0.49658,                0.38788,                0.43785,                0.24421,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     11,                 1.5967,                 1.3068,                   1.07,                0.66179,                0.55709,                0.56947,                0.29439,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     12,                 1.5869,                 1.1805,                 1.0686,                0.68095,                0.47154,                0.52863,                0.28135,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     13,                 1.5644,                 1.1113,                 1.0591,                0.53446,                0.31948,                0.38497,                0.20133,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     14,                 1.5072,                 1.1215,                 1.0668,                0.75242,                0.56049,                0.61564,                0.29738,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     15,                 1.4118,                 1.0174,                 1.0269,                0.66477,                0.50271,                0.53639,                0.25744,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     16,                 1.4294,                 1.0041,                 1.0156,                0.74301,                0.54043,                0.59027,                0.33049,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     17,                 1.3532,                0.93841,                 1.0021,                0.67553,                0.61755,                0.65185,                0.36054,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     18,                 1.3366,                0.86585,                0.97838,                0.70789,                 0.5756,                0.63764,                0.35478,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     19,                 1.3078,                0.84169,                0.97775,                  0.792,                0.59236,                0.65904,                0.38096,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
